gsi_lat,gsi_lon,gsi_name,gsi_kana,lfSpanFr,gaijiFlg,name1,name2,id,name,kana,alt,lat,lon,level,auth,distance
42.268922,139.863175,雁毛山,がんけやま,2012-07-30,0,雁毛山,雁毛山,3531,雁毛山,かりげやま,491,42.268924,139.863177,45,2,0.25
37.415505,139.865414,高畑山,たかはたやま,2012-10-12,0,高畑山,高畑山,16930,高畑山,たかはたやま,542,37.415515,139.865301,36,2,10.03
36.680473,139.861265,矢倉山,やぐらやま,2012-10-12,0,矢倉山,矢倉山,3140,矢倉山,やぐらやま,409,36.680495,139.861274,18,2,2.59
37.764488,139.864672,三ノ倉山,さんのくらやま,2012-10-12,0,三ノ倉山,三ノ倉山,6504,三ノ倉山,さんのくらやま,1008,37.764467,139.864669,45,2,2.32
38.299376,139.857511,相模山,さがみやま,2012-10-12,0,相模山,相模山,5028,相模山,さがみやま,1591,38.299332,139.857543,36,2,5.66
35.305952,139.858887,神明山,しんめいやま,2012-10-12,0,神明山,神明山,1309,神明山,しんめいやま,66,35.305956,139.858869,36,2,1.72
38.187051,139.860739,不動山,ふどうやま,2012-10-12,0,不動山,不動山,5010,不動山,ふどうさん,939,38.187045,139.860769,18,2,2.70
40.595439,139.862906,椿山,つばきやま,2012-10-12,0,椿山,椿山,6495,椿山,つばきやま,56,40.595414,139.862942,18,2,4.09
36.915592,139.866761,月山,がっさん,2012-10-12,0,月山,月山,3237,月山,つきやま,875,36.915553,139.866792,45,2,5.14
35.112286,139.864697,津辺野山,つべのやま,2012-10-12,0,津辺野山,津辺野山,1241,津辺野山,つべのやま,259,35.112325,139.864730,36,2,5.25
38.354506,139.856964,オツボ峰,おつぼみね,2012-10-12,0,オツボ峰,オツボ峰,5059,オツボ峰,おつぼみね,1640,38.354722,139.857222,0,2,32.91
37.704807,139.864777,東山,ひがしやま,2012-10-12,0,東山,東山,17083,東山,ひがしやま,323,37.704788,139.864780,36,2,2.13
38.326987,139.8629,中先峰,なかせんぽう,2012-10-12,0,中先峰,中先峰,5033,中先峰,なかさきみね,1523,38.327036,139.862912,18,2,5.51
38.238912,139.863823,桧岩屋山,ひのきいわややま,2012-10-12,0,桧岩屋山,檜岩屋山,5013,檜岩屋山,ひいわやま,1253,38.238882,139.863921,36,2,9.17
45.516949,148.80487,神威岳,かむいだけ,2014-02-14,0,神威岳,神威岳,18970,神威岳,かむいだけ,1323,45.515895,148.806218,18,3,157.40
